NEKK_COD,NEKK_BEZ,LIMNEK_COD,LIMNEK_BEZ,KNG_COD,KNG_BEZ,NEKK_LBL,B_JAHR,B_GRUNDLAGE,SHAPE.AREA,SHAPE.LEN
4,4 - Getreidebetonte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,4G,2009,FFF-Revision 09 (BoKa-ZH),12761.283490205,444.43909306862
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,1029.82342095,136.850251822321
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),9562.76413708,566.323080125096
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",L,Lage im Relief,2,2 - Übergangsgebiet ackerbaubetont,6L,1988-97,BoKa-ZH (Einzelfall),36777.65153242,2249.95964588664
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,7R,2009,FFF-Revision 09 (BoKa-ZH),192.618512,126.92690800742001
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),81.0080681,48.6938284397421
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,9224.295112955,402.85178989802597
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,161.4955501,76.4626556865699
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),1640.2161292150001,229.500970490266
8,8 - Wiesland (wegen Nässe nur zum Mähen geeignet),F,Fremdnässe,1,1 - Ackerbaugebiet,8F,1988-97,BoKa-ZH,27476.29387694,980.235456904869
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),716.427759675,204.41079913619802
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,6611.337010255,614.807634124314
7,7 - Gutes bis mässig gutes Wies- und Weideland,F,Fremdnässe,4,4 - Futterbaugebiet,7F,2009,FFF-Revision 09 (BoKa-ZH),9044.6309346,540.381827069965
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),7528.838527,519.754601731452
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),309.19729115,78.1803936732977
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),720.31130164,299.415394719653
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",E,Erosion,3,3 - Übergangsgebiet futterbaubetont,6E,1988-97,BoKa-ZH (Einzelfall),17053.85340363,565.12782470547
7,7 - Gutes bis mässig gutes Wies- und Weideland,F,Fremdnässe,4,4 - Futterbaugebiet,7F,2009,FFF-Revision 09 (BoKa-ZH),26249.28078592,747.106394667391
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),830.62596643,256.637700093014
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1174.5940053549998,205.43165365814
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,8649.41196939,424.888540929077
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),678.99702635,296.72091193397205
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,422.83663449,198.59022572106701
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,16107.80814269,744.185653406214
7,7 - Gutes bis mässig gutes Wies- und Weideland,A,Bodenart,3,3 - Übergangsgebiet futterbaubetont,7A,1988-97,BoKa-ZH,48318.23045452,1288.90729936727
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,4005.61194447,253.22642204626501
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",F,Fremdnässe,1,1 - Ackerbaugebiet,6F,1988-97,BoKa-ZH,8093.77586664,366.45680516784904
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),388.21079193,401.530859867653
5,5 - Futterbaubetonte Fruchtfolge,kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,5,2009,FFF-Revision 09,35155.238359795,917.290724899121
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,34415.01652676,1481.56638974277
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,175.063327095,489.420075583168
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,A,Bodenart,1,1 - Ackerbaugebiet,2A,1988-97,BoKa-ZH,11963.142644815,686.88021007493
4,4 - Getreidebetonte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,4G,1988-97,BoKa-ZH (Einzelfall),21577.89210441,534.944355107332
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,7N,1988-97,BoKa-ZH,10856.719060775002,564.5142661164681
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,11984.684791065,607.001822437711
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",N,Hangneigung,1,1 - Ackerbaugebiet,6N,1988-97,BoKa-ZH,36384.28210325,1375.6663915077702
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),657.26661055,110.229992707513
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,29790.13274506,825.157709637991
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),8505.219969375,731.2783673517041
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1713.0754674,438.433191797653
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,214.99866505,95.22995960723479
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),889.6795668,199.98884700360003
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,267.766526,131.46771303424802
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,2,2 - Übergangsgebiet ackerbaubetont,5L,1988-97,BoKa-ZH (Einzelfall),3279.41588477,328.811591998746
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,5N,1988-97,BoKa-ZH,419.941548,117.801848390936
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),1310.70698697,207.86118820651902
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,10294.47255355,520.393204440016
7,7 - Gutes bis mässig gutes Wies- und Weideland,A,Bodenart,3,3 - Übergangsgebiet futterbaubetont,7A,1988-97,BoKa-ZH,9387.25741055,406.520620661095
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",I,Staunässe,3,3 - Übergangsgebiet futterbaubetont,6I,1988-97,BoKa-ZH (Einzelfall),26509.49514698,895.272912946153
2-5,Bereich 2-5,kA,keine Angabe,2,2 - Übergangsgebiet ackerbaubetont,2-5,2009,FFF-Revision 09,72.347382,39.712385105199395
2-5,Bereich 2-5,kA,keine Angabe,2,2 - Übergangsgebiet ackerbaubetont,2-5,2009,FFF-Revision 09,3939.967390735,496.119176094781
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,3616.35122056,373.42246719067805
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),459.463801,233.970051034901
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,7N,1988-97,BoKa-ZH,24089.659170175,1200.5077177892802
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,1983.94105711,224.48966047370402
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),511.982091,187.309066930716
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,150.59753142,201.66017597816
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,2515.4992404150003,387.651543421361
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,0.10088180000000001,9.13389765545505
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,0.14693008,9.861266435585918
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),214.7251871,102.58246725370601
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,1051.28776744,209.865533526974
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),575.474152425,154.431623017778
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,16185.34445445,717.499034132303
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),558.85329463,373.15394911421305
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),2176.250132,262.908657425886
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),898.96363929,234.250125497699
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,10640.165448605,620.6210373865359
10,10 - Streueland,F,Fremdnässe,4,4 - Futterbaugebiet,10F,1988-97,BoKa-ZH (Einzelfall),14306.48507674,624.6412693230931
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,3,3 - Übergangsgebiet futterbaubetont,7R,2009,FFF-Revision 09 (BoKa-ZH),501.2486035,121.531579413567
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),753.9370545,144.556328212501
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),270.58957468,246.94414341719602
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),377.4516623,82.4622353399672
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1470.06443526,441.968828894768
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),1425.28760475,199.195310024563
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,3,3 - Übergangsgebiet futterbaubetont,7L,1988-97,BoKa-ZH (Einzelfall),4872.13154027,338.38929581476003
9,9 - Extensives Wies- und Weideland,N,Hangneigung,3,3 - Übergangsgebiet futterbaubetont,9N,1988-97,BoKa-ZH (Einzelfall),7780.19145351,562.8389597416331
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),1252.51542125,243.660814886583
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,A,Bodenart,1,1 - Ackerbaugebiet,2A,1988-97,BoKa-ZH,15038.06799583,818.9621616303161
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),42.844263999999995,91.6312755087468
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),444.5506435,244.142191490536
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),385.16427479,145.977353733432
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,12414.93091974,565.492670093447
7,7 - Gutes bis mässig gutes Wies- und Weideland,F,Fremdnässe,3,3 - Übergangsgebiet futterbaubetont,7F,1988-97,BoKa-ZH,8371.966986745001,534.287535719641
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,192.934788,139.447231392552
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,25334.90596605,681.935101691296
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,7N,1988-97,BoKa-ZH,36740.09702362,985.170683129887
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,7N,1988-97,BoKa-ZH,9255.642802465,519.598903224562
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),5946.76965005,753.6541435796311
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,703.85139246,238.61330135882
5,5 - Futterbaubetonte Fruchtfolge,kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,5,2009,FFF-Revision 09,4834.30116623,472.659106107883
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),964.03490881,181.827767348856
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),933.646092655,138.128816146247
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,65591.60794844,1381.00627370264
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),207.672075,233.985250607467
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,862.473278605,765.821160466338
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),836.98931871,477.129378756611
4,4 - Getreidebetonte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,4G,2009,FFF-Revision 09 (BoKa-ZH),7926.26900919,482.04380019843
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,1,1 - Ackerbaugebiet,5L,1988-97,BoKa-ZH (Einzelfall),4853.635462725,375.094419557385
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,1271.086785,248.795521778032
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,7991.008191835,446.05633208912303
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH (Einzelfall),16864.47101591,769.023737939882
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1918.58925306,361.055872241921
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,124853.16450373501,3183.72387378079
5,5 - Futterbaubetonte Fruchtfolge,kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,5,2009,FFF-Revision 09,30460.144345085,1162.3465129774
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,1,1 - Ackerbaugebiet,5L,1988-97,BoKa-ZH (Einzelfall),6704.50276119,359.697635317418
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",F,Fremdnässe,1,1 - Ackerbaugebiet,6F,1988-97,BoKa-ZH,22425.270653,749.4576552452941
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH (Einzelfall),15107.21780395,811.284647672011
5,5 - Futterbaubetonte Fruchtfolge,E,Erosion,1,1 - Ackerbaugebiet,5E,1988-97,BoKa-ZH,22714.61034113,778.5513576032571
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,46491.80343026,1492.65799778852
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,13805.34029067,516.114307683948
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,6580.80762442,395.446163331344
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH (Einzelfall),71602.03973891,2118.26062940816
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,14727.49628939,786.8331007623791
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),181164.51417098,3456.43121835807
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,3594.50200398,357.741684140498
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,1,1 - Ackerbaugebiet,7L,1988-97,BoKa-ZH (Einzelfall),5693.7545438,504.68563540072404
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,6170.50495315,331.984603849499
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,239.5443763,63.00818649790949
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,1,1 - Ackerbaugebiet,7L,1988-97,BoKa-ZH (Einzelfall),1273.95155875,150.084982705961
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,3483.06236067,337.966744254647
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,7R,2009,FFF-Revision 09 (BoKa-ZH),5053.90868556,591.935384918136
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),307.4140435,71.5170727780106
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,7R,2009,FFF-Revision 09 (BoKa-ZH),687.08396895,146.51413352157002
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),2,2 - Übergangsgebiet ackerbaubetont,3G,1988-97,BoKa-ZH,6503.31059144,361.126124969189
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,2,2 - Übergangsgebiet ackerbaubetont,2S,1988-97,BoKa-ZH,5019.83522138,507.58615212813703
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,7N,1988-97,BoKa-ZH,6246.68212903,577.111972054412
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,7N,2009,FFF-Revision 09 (BoKa-ZH),6632.05739762,447.437342684257
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,10864.491670505,773.562500215234
4,4 - Getreidebetonte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,4S,2009,FFF-Revision 09 (BoKa-ZH),125.081160855,47.906324367165496
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,22330.37720148,1127.82630523075
9,9 - Extensives Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,9N,2009,FFF-Revision 09 (BoKa-ZH),7210.94634349,497.13872340014206
2-5,Bereich 2-5,kA,keine Angabe,2,2 - Übergangsgebiet ackerbaubetont,2-5,2009,FFF-Revision 09,3389.86441794,286.318704604905
5,5 - Futterbaubetonte Fruchtfolge,B,Klimatisches Nutzungsgebiet,3,3 - Übergangsgebiet futterbaubetont,5B,1988-97,BoKa-ZH,25830.92891257,751.34234840279
1,1 - Uneingeschränkte Fruchtfolge 1. Güte,,,1,1 - Ackerbaugebiet,1,1988-97,BoKa-ZH,108815.61332669,2321.8945748538404
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,2,2 - Übergangsgebiet ackerbaubetont,3I,1988-97,BoKa-ZH,3123.29869775,356.057701964688
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),401.44072984,101.884679042342
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),2190.5624424,260.302597761352
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,2561.424008,241.639084551512
