NEKK_COD,NEKK_BEZ,LIMNEK_COD,LIMNEK_BEZ,KNG_COD,KNG_BEZ,NEKK_LBL,B_JAHR,B_GRUNDLAGE,SHAPE.AREA,SHAPE.LEN
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),1651.7233969,265.016366137385
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,706.5191106,157.447853853367
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),2866.2317175,291.605801012815
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,2G,1988-97,BoKa-ZH (Einzelfall),21717.45837161,1101.59870249376
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH (Einzelfall),22668.35429805,729.034084725429
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,1381.6294127,776.474092602898
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",I,Staunässe,1,1 - Ackerbaugebiet,6I,1988-97,BoKa-ZH (Einzelfall),140837.855820625,4368.3557355983
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",F,Fremdnässe,1,1 - Ackerbaugebiet,6F,1988-97,BoKa-ZH,3356.5183975,397.193902107357
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,8211.608252965001,660.01475860049
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH (Einzelfall),12090.81959939,562.4107352683881
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,1,1 - Ackerbaugebiet,5L,1988-97,BoKa-ZH (Einzelfall),7567.73843114,426.555204195302
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,309.196591,238.903203848427
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),0.125056,1.98965472612392
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),3760.46247832,644.5256738323501
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),42262.659543375004,1373.13588815945
