SCHUTZWALD_ID,BFS,LFNR,PRIO,LABEL,AREA_ROUND,SHAPE.AREA,SHAPE.LEN
2247,261,6,1,261.6,12848,12847.966389,582.9217986012289
2252,261,7,1,261.7,5456,5456.297064,301.041858387033
2237,261,4,2,261.4,13267,13267.198094,497.75647806994004
2254,261,8,2,261.8,38483,38483.4798355,1114.0420711240802
2157,261,1,1,261.1,7233,7233.491432,454.78979722133204
2239,261,5,2,261.5,20255,20254.763023,790.0006983685521
