NUMMER,AUSGESCHALTET_TXT,BELEUCHTUNGSTYP_TXT,BAUART_TXT,E,N
54,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685772.935,1253289.824
43,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685699.937,1253531.823
51,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685736.936,1253365.824
107,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686253.259,1251718.211
115,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686273.632,1251708.686
9,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686299.052,1251929.565
22,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686255.018,1252273.273
12,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686307.043,1252023.068
14,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686307.459,1252082.505
5189,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686497.212,1245086.822
3,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium,2686370.275,1252191.344
11,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686415.562,1252036.076
6,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686452.148,1252190.873
88,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684311.492,1252756.536
1,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684345.652,1252798.455
6,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684369.823,1252836.956
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684341.911,1253567.277
60,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684559.22,1252614.325
58,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684576.25,1252643.255
9,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684381.653,1252858.085
5,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684390.003,1252803.956
7,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684395.443,1252832.935
14,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684422.603,1252882.775
30,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684488.855,1253008.864
47,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684551.157,1253174.033
57,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684613.307,1253234.202
62,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684623.488,1253283.042
66,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684643.648,1253282.612
69,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684660.267,1253260.742
3,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684381.965,1253622.462
6,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684445.042,1253679.505
8,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684490.763,1253722.765
12,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684589.673,1253816.692
13,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684613.554,1253840.58
37,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684736.919,1252527.454
27,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684821.029,1252464.414
25,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684836.639,1252490.754
79,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684722.028,1253318.801
82,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684730.808,1253343.841
92,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684875.343,1253411.582
93,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684903.938,1253421.53
22,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684741.545,1253968.629
23,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684765.435,1253993.449
104,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685220.415,1253514.73
107,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685305.301,1253539.717
26,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685624.942,1253961.823
27,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685631.941,1253934.823
29,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685641.941,1253875.823
32,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685649.94,1253815.823
37,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685665.939,1253684.823
33,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685669.94,1253788.823
18,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685499.944,1254131.823
45,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685802.582,1252413.492
44,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685826.512,1252411.497
35,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686013.632,1252380.526
59,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685798.934,1253173.824
66,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685841.747,1253054.445
5491,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686098.589,1244831.14
101,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686148.583,1251593.139
105,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686216.746,1251675.878
4,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686233.802,1252190.506
18,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686249.652,1252049.436
17,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686267.952,1252031.046
19,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2686294.176,1252196.838
28,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2686149.3,1252358.008
5110,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686691.782,1244868.703
12,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686599.701,1252176.12
5113,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686757.65,1244817.694
16,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686731.99,1252240.841
89,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684323.472,1252772.816
85,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2684367.122,1252744.806
66,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684514.34,1252640.775
52,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684627.76,1252612.915
11,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684408.043,1252856.275
75,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684448.611,1252697.146
60,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684629.297,1253253.032
63,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684635.177,1253266.892
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684488.823,1253692.863
11,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684563.514,1253790.454
35,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684756.099,1252530.864
24,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684844.959,1252450.244
15,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684916.849,1252407.953
94,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684932.628,1253429.994
29,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684910.946,1254139.827
1,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685068.829,1252388.873
101,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685135.44,1253489.74
24,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685620.942,1254012.823
23,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685627.942,1254050.822
38,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685916.122,1252387.057
62,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung muss angepasst werden",Aluminium,2685799.113,1252993.125
67,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium,2685848.404,1253074.681
113,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686239.104,1251668.469
117,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686287.623,1251758.237
3,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686232.622,1252170.366
20,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686275.868,1252224.008
16,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686306.391,1252138.465
14,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686336.742,1252032.556
26,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2686174.066,1252352.16
5,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686415.471,1252178.906
8,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686449.403,1252039.196
7,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686467.942,1252040.461
7,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686468.591,1252172.218
6,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686499.862,1252030.156
10,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium mit VRA-Anlage,2686546.162,1252178.682
5111,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686708.918,1244853.712
87,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2684337.672,1252746.856
4,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684368.813,1252811.986
59,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684571.18,1252634.575
53,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684622.84,1252604.155
51,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684637.089,1252568.595
44,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684686.569,1252557.114
84,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684371.042,1252723.616
74,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684469.101,1252709.845
68,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684508.791,1252674.385
41,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684525.636,1253125.013
49,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684577.766,1253158.033
58,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684624.197,1253223.322
61,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684642.017,1253242.312
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684409.743,1253622.683
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684428.883,1253640.312
16,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684643.034,1253877.45
38,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684730.585,1252514.119
28,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684812.019,1252506.114
26,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684830.949,1252481.364
23,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684854.589,1252467.444
12,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684939.859,1252394.283
87,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684758.098,1253342.941
90,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684819.178,1253390.25
91,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684847.039,1253401.43
21,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684740.944,1253946.829
2,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685044.939,1252387.643
99,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685077.483,1253472.643
103,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685191.963,1253506.408
113,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2685513.405,1253602.604
30,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685647.94,1253844.823
38,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685689.938,1253661.823
17,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685473.944,1254146.823
49,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685755.421,1252410.968
43,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685850.122,1252409.087
39,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685960.142,1252391.067
61,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685818.934,1253143.824
45,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685708.937,1253490.823
46,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685718.463,1253447.728
52,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685756.935,1253349.824
112,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686220.583,1251649.42
108,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686265.53,1251736.674
10,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686297.514,1251967.339
19,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686241.482,1252077.486
13,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium,2686294.347,1252055.468
18,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2686298.809,1252167.599
27,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686152.542,1252348.836
24,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686223.502,1252322.606
5104,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686585.662,1244997.69
17,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686759.667,1252257.6
