LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SHAPE.LEN
844.85859497,4703,30,30085,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,844.858561330587
851.4152134,4674,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,851.415260649626
342.28538188,4682,30,30085,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,342.285364496811
320.88364258,431,23,17,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,320.883641173143
259.62627361,4189,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,259.626341529901
142.20406811,443,30,30056,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,142.204173367392
77.01437409,4155,23,30055,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,77.01437409036059
129.7129762,4167,30,30057,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,129.71302022606798
71.71748894,4362,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,71.71741949101349
134.48906199,4158,30,30057.1,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,134.489076022192
126.44826673,4209,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,126.448263010807
90.45818735,4211,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,90.4581179053599
60.5882675,4210,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,60.588270227694295
287.57797087,4161,23,347,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,287.577915127667
277.96599899,4230,30,30057,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,277.96599780953903
166.86951537,4391,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,166.869488732656
259.19978562,4416,30,30053,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,259.199769986062
68.31699146,441,30,30056,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,68.3169533793772
354.21156397,4475,30,30052,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,354.211567658095
65.81287914,4290,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,65.8129017493231
157.01786918,4296,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,157.017879110893
1051.13847451,4454,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,1051.13846146395
182.56098943,4468,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,182.56095266858
121.91592175,4431,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,121.915862703474
174.25787521,206,30,30047.1,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,174.257904386108
54.76522958,207,23,4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,54.7652295797373
304.89515174,4420,30,30048,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,304.89514106917903
354.71693016,4428,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,354.71694405164203
167.01342967,674,10,10121,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,167.01341071838502
309.5388145,4493,23,30012.5,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,309.53887030552704
6499.62490391,7438,50,50001,Glatttalbahn,Glatttalbahn,Stadtbahn,,05_12_2017,6499.624834797731
98.41785131,4515,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,98.4178852209514
157.20864564,4522,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,157.20870623272103
16.53342276,4521,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,16.5334470023646
85.45984205,4530,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,85.4598300338235
246.53886313,4541,30,4,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,246.538829237896
105.05137359,4533,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,105.05131724180102
208.19542307,219,23,30011.2,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,208.19540872735502
160.52252824,4679,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,160.522572264156
90.8857333,4652,23,30040,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,90.8856886331862
332.58615497,4510,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,332.58619509900296
100.80090559,4506,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,100.80090580794099
280.52749616,1496,23,4.4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,280.52746314196
88.00314044,6512,10,10012,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,88.0032109433844
74.55738716,210,23,1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,74.5573347770856
124.48532875,4747,23,356,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,124.48537715839701
318.48634177,4751,23,4.4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,318.486272945883
105.11034433,4750,23,4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,105.11032199083901
151.36683247,4511,23,4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,151.366818419779
360.41596998,4512,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,360.41594648821405
332.81157963,488,30,30040,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,332.8116285075
266.66266032,1665,10,10012,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,266.662630731851
72.71583956,4501,23,1.3,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,72.7158799752126
140.58242672,375,23,1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,140.582488498976
322.04491931,4745,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,322.04491583442103
336.00307513,4754,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,336.00309177913704
287.37661861,376,23,1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,287.37660314198297
261.57972878,4495,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,261.57969730343603
490.83822276,4762,30,30046,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,490.838296944227
382.17947105,677,10,10121,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,382.17943361127107
164.93108095,4676,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,164.931083923321
777.76211692,584,10,10010,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,777.7621097776521
318.7946959,4719,1, ,unbekannt,unbekannt,Gemeindestrassen,,05_12_2017,318.794681009646
