LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SHAPE.LEN
183.78141745,4982,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,183.78142391174103
427.68276534,1416,12,16160,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,427.682760212523
488.00549584,1415,12,16198,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,488.005437868978
203.36311408,5254,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,203.363157500215
373.38930386,5270,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,373.389295346682
111.86238381,5220,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,111.862416573307
225.73713079,5264,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,225.73708236129804
173.9925544,5252,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,173.992561955608
190.69322271,5255,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,190.69321904439303
103.62620407,5226,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,103.62623063699802
116.15797011,5240,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,116.15799302506001
105.79938297,5207,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,105.799418193996
224.19101342,5076,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,224.190956442039
112.63070187,4954,40,,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,112.63068058648
143.22950313,407,23,3,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,143.229431825345
200.81444996,5077,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,200.814474736365
175.96037307,5065,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,175.960348539871
218.77096945,5094,30,30050,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,218.770859483046
128.73229151,5051,30,30067,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,128.732256545723
27.29633942,426,40,,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,27.2963881568606
94.72924234,5097,30,30050,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,94.7292858764384
