BFS,SHAPE.AREA,SHAPE.LEN
248,91931.0742085,1814.09476447618
248,237395.788262,4109.50280673091
261,1590428.21927608,8866.3326508685
96,20825.3761975,608.4970734972151
261,9993.7967325,562.059806916645
261,1182306.68421478,9524.77848254475
261,879.8185375,148.12738354204603
261,959.129432,163.834571889831
261,2780.486763,215.501837304837
261,942.881466,161.965018556029
261,10384.509283,898.601506907934
261,48.805268999999996,32.573968943149204
261,188929.91995255,2980.83406675728
261,1676.384075,253.06291224539203
97,4797.834609125,476.35596682704704
261,1980.4855505,205.313459517076
261,120457.5420675,1804.2449453078602
261,863558.8928000251,5885.66247663849
191,334517.0664937,5755.064571036961
69,81467.748043,1410.02715737019
261,12.331651675,16.874531438672197
261,20255.395678,1261.85316380571
261,167118.099315018,3963.3943297138603
261,319963.5446445,3127.3372121879397
261,7560.4093745,937.687049813429
261,2651.759301,468.950293788045
261,471.4120245,184.82340270107701
261,2650.439742,395.10199696752
261,38475.081013,2343.01403486195
69,8437.274303,804.20175927185
66,723998.11748853,5876.54142624072
261,109140.1752015,4710.17519748276
261,3841.135251,528.554866462519
96,6300.77859,341.520770575831
261,3822.053909,477.407067483869
261,182068.879722,2143.59111672082
261,2406.419541,293.75525348779803
261,49305.9032505,1051.98183662807
261,3884.8463035,329.83758913084205
261,12707.5423035,572.944770476814
261,12229.234861,593.603216772336
261,7884.5014775,635.209500008337
161,449900.63602327503,4627.317943069301
69,4734.7190735,385.372245222821
13,3023546.5504691,47567.1452624274
261,141372.60083155,2902.72604283004
261,2851.2479385,331.610037626341
261,5198.3299545,615.3391165781891
261,4849.2389335,476.83327020920206
261,3424.0714255,268.18657033766505
261,1545.175496,177.87523088890902
261,23885.7217895,927.621022012
261,179185.716613315,9050.36385101708
261,379.8802655,107.770135175598
69,1161.739218,329.917187660562
69,1926.9550415,193.239086617806
261,26337.8943011725,1102.68497023919
261,3331.4295,544.098465050457
261,3396.4234872750003,412.72920942554
96,32542.122609,895.343111683919
261,9222.1111625,552.6053682879771
261,93131.412741,1584.28544213122
97,68272.30578726501,1230.71826890008
261,2596.525087875,359.66766076011
261,3909445.3793425,16749.9836072716
66,2677.5187108,301.24015124249803
66,78052.65623693,1380.4595099606602
97,12417.94764979,478.11926303524604
261,1172.1672945,187.74984151933302
261,3364.039711,297.83601298483603
261,13341.022776,707.8258176415151
261,405.38746,102.139239946396
261,5432988.92984578,36001.7512741093
261,12.959144,14.914948185150799
96,62144.1862665,2133.49034380871
261,1171.3084365,155.216387151116
96,256255.4194865,3682.85223446219
261,57698.236459,1183.5786554138301
261,13184.442987575001,931.3011324391221
261,18883.3760025,767.4680926154401
261,1454.167628,161.346122105613
261,1859.472544,353.678615007937
261,2308993.4929554,13431.4271557769
66,1312.92772341,216.37290898609
161,7799.5618937,653.8534764424211
66,5655.37515145,421.196854842631
261,4646.5805435,559.9833256334
261,27757.7403245,1453.5269042034101
261,2285.5929815,292.291766927119
96,2164.9904765,326.663524183468
261,12908.1501975,1030.75131059177
261,89989.715119375,1556.21897297489
261,1808.8475605,187.89231893943
261,29177.120697,1458.9007068835201
261,11646.6025545,768.279752487618
261,3202.054172,319.54206226006903
261,56884.6921333,2277.5754152161903
261,5234.296386,385.290133722964
261,1864.473251,243.959162299801
69,2315.149477,230.40094914491002
69,5760.4175925,378.580828444865
69,928741.863914775,5605.989162627121
261,1553.8342085,189.99477651183904
96,3150.298752,419.26599408205203
261,39700.6965229038,887.314873426046
96,3966.8815795,308.978994650201
261,14430.712785,920.3456304441249
261,75592.9927565,1288.20193531208
261,1423.667587,157.33274083792801
261,2020.1270045,432.738218622289
261,94341.56168,1907.54774787634
261,1203.511831,233.54106947383804
261,3417.102618,250.97241123708602
261,39210.9149835,992.247933455219
66,4759.370499375,459.060974563437
261,4056.439877,607.4916753976861
69,3164.9476515,306.41251657852604
66,1855.5042335,253.52642039264302
