GEMEINDE,ORT,PLZ,STRASSE,ENSEMBLE,OBJEKT,GVZ_NR,BAUJAHR,EINSTUFUNG,FESTSETZUNG,ERLASS,SCHUTZ,GRUNDBUCHEINTRAG,OST,NORD,E,N
Zürich,Zürich,8001,Hirschengraben 42,,Haus zum Krönli,28100663,1739,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683749.8995896,1247515.83475954,2683749.9,1247515.835
Zürich,Zürich,8001,Florhofgasse 10,Zürich: Rechberg,"Lagerhaus, sog. «Packhaus»",28100641,,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683794.90005244,1247467.83479051,2683794.9,1247467.835
Zürich,Zürich,8001,Florhofgasse 6,,Konservatorium,28101073,,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,ÖREB,20100125,2683812.90023968,1247446.8348029,2683812.9,1247446.835
Zürich,Zürich,8006,Rämistrasse 98; Rämistrasse 100,Zürich: Kantonsspital USZ,Hauptgebäude Rämistrasse 98. Poliklinik,26601380,1945,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683878.90034015,1247869.83484799,2683878.9,1247869.835
Zürich,Zürich,8006,Gloriastrasse 11,Zürich: Kantonsspital USZ,Verwaltungsgebäude Gloriastrasse 11 von 1911,26600911,1926,regional,,,-,,2684054.90201002,1247801.83496903,2684054.902,1247801.835
Zürich,Zürich,8006,Turnerstrasse 10,,Wohnhaus,27601011,1916,-,,,PD,19940328,2683500.90055208,1248715.83690863,2683500.901,1248715.837
Zürich,Zürich,8006,Stapferstrasse 60,,"Kirche, ref./Pfarrhaus Oberstrass",27100654,1908,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683678.89982142,1248709.83585213,2683678.9,1248709.836
Zürich,Zürich,8032,Zürichbergstrasse 10,Zürich: Kantonsschulen Rämibühl,Turnhallen,,1967,kantonal,,,-,,2684114.90285147,1247421.83473495,2684114.903,1247421.835
Zürich,Zürich,8044,Gellertstrasse 1,Zürich: ref. Kirchgemeinde Fluntern,"Kirche, ref.",26600742,1918,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2684438.90205795,1247963.8291366,2684438.902,1247963.829
Zürich,Zürich,8032,Doldertal 17,Zürich: Doldertalhäuser,Wohnhaus Doldertal 17,26901750,1932,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2685057.90225666,1247524.81841622,2685057.902,1247524.818
Opfikon,Glattbrugg,8152,Oberhauserstrasse 51,Opfikon: Oberstufenschulanlage Halden,Schultrakt A2 Singsaal von 1952/54,6600743,1952,regional,,,-,,2685247.94206484,1253881.82556404,2685247.942,1253881.826
Opfikon,Glattbrugg,8152,Oberhauserstrasse 57,Opfikon: Oberstufenschulanlage Halden,Trakt D 1-2/Schulpavillon 3a/3b von 1956-1960,6600882,1956,regional,,,-,,2685345.9414243,1253848.82496391,2685345.941,1253848.825
Opfikon,Glattbrugg,8152,Schulstrasse 2,Opfikon: ref. Kirche/Pfarrhaus,Pfarrhaus,6600024,1957,regional,,,-,,2685364.94021776,1253727.8251839,2685364.94,1253727.825
Opfikon,Opfikon,8152,Dorfstrasse 32,,Ortsmuseum,6600064,1640,regional,19791219,"RRB 3235/1982 Glattal, RRB 5113/1979 Liste Kanton",PD,19870302,2685828.94162264,1254020.82122969,2685828.942,1254020.821
Zürich,Zürich,8003,Aemtlerstrasse 113,"Zürich: Friedhof Sihlfeld A, B, C, D und E mit Hochbauten, Gartenanlage und Grabmäler bedeutender Persönlichkeiten",WC-Gebäude,27702754,1928,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2681059.89942492,1247674.8494533,2681059.899,1247674.849
Zürich,Zürich,8004,Hardstrasse 86,"Zürich: Kirche, kath. St. Felix u. Regula",Glockenturm,26400502,1951,regional,,,-,,2681175.90505391,1248382.85001941,2681175.905,1248382.85
