Datum; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Heubeeribüel; Zürich Heubeeribüel
; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Heubeeribüel; Zch_Heubeeribüel
; Ozon; Stickstoffdioxid; Feinstaub PM10; Lufttemperatur; Luftdruck; Windrichtung; Windgeschwindigkeit vektoriell; Ozon; Stickstoffdioxid; Feinstaub PM10; Ozon; Stickstoffdioxid; Feinstaub PM10; Ozon; Stickstoffdioxid
; O3; NO2; PM10; T; p; WD; WVv; O3; NO2; PM10; O3; NO2; PM10; O3; NO2
; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1
; µg/m3; µg/m3; µg/m3; °C; hPa; °; m/s; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3
13.03.2018 03:00; 83.06; 4.76; 3.91; 7.15; 955.93; 246.19; 5.87; 85.07; 4.48; 3.98; 79.58; 7.64; 2.28; 83.60; 2.50
13.03.2018 04:00; 81.38; 6.03; 3.79; 6.77; 956.16; 244.90; 4.03; 84.40; 5.48; 4.13; 65.82; 23.88; 2.19; 83.31; 2.61
13.03.2018 05:00; 74.51; 11.22; 4.82; 6.75; 956.21; 239.80; 2.91; 74.13; 16.42; 4.60; 47.01; 45.61; 3.04; 81.27; 3.76
13.03.2018 06:00; 69.21; 18.50; 6.11; 7.19; 956.31; 242.34; 3.57; 63.41; 32.77; 7.20; 50.95; 45.56; 4.22; 79.97; 6.15
13.03.2018 07:00; 64.72; 24.34; 10.03; 7.00; 956.86; 248.41; 3.91; 52.85; 47.52; 8.54; 40.75; 61.31; 7.10; 74.82; 10.17
13.03.2018 08:00; 59.23; 31.45; 12.02; 6.99; 957.43; 246.51; 3.64; 53.94; 45.83; 7.61; 47.75; 49.17; 6.75; 72.88; 11.10
13.03.2018 09:00; 67.40; 20.22; 8.68; 7.28; 957.78; 246.68; 3.59; 58.24; 37.72; 6.65; 39.36; 64.29; 7.57; 71.36; 11.40
13.03.2018 10:00; 63.23; 25.79; 12.68; 7.71; 958.20; 245.91; 2.96; 52.20; 43.87; 9.66; 30.37; 76.74; 9.25; 72.75; 9.60
13.03.2018 11:00; 66.49; 24.15; 7.77; 7.75; 958.71; 242.07; 4.12; 63.79; 30.83; 7.05; 43.29; 57.68; 6.78; 72.79; 10.42
13.03.2018 12:00; 71.80; 14.33; 7.52; 7.71; 958.93; 242.49; 4.05; 61.95; 31.82; 9.39; 47.30; 51.08; 5.62; 76.16; 7.27
13.03.2018 13:00; 73.34; 14.69; 6.71; 8.25; 958.91; 250.50; 4.75; 60.67; 34.01; 8.97; 60.99; 32.30; 4.14; 75.49; 8.02
13.03.2018 14:00; 71.77; 16.81; 11.58; 8.40; 959.13; 248.17; 4.98; 67.82; 24.28; 6.04; 46.40; 51.40; 4.84; 74.43; 9.59
