,East,North
0,8.54317985515014,47.374267925821
1,8.54312625041245,47.374108072908
2,8.54306095612084,47.3740537908475
3,8.54302190485288,47.3739214318234
4,8.54300475025815,47.3738770158845
5,8.54298589956456,47.3737852477082
6,8.54299147321432,47.3737596302081
7,8.54297271117991,47.3736785294255
8,8.54295778477066,47.373586345925
9,8.54295599928635,47.373555770494
10,8.54294656466181,47.3734416852673
11,8.54294434547055,47.3734112668989
12,8.54293337504005,47.3732709844837
13,8.54294626360593,47.3732705644232
14,8.5429517733561,47.3731913724194
15,8.54292156494485,47.3731355494802
16,8.54291824885126,47.3730457915948
17,8.54290857665782,47.3729317356055
18,8.54290637514617,47.3729060035365
19,8.54290239713485,47.3728060244864
20,8.54287988797241,47.3725107849399
21,8.54291718240488,47.372420350946
22,8.5429117782538,47.3721562959457
23,8.542910818116,47.3721029188937
24,8.54290634185769,47.3718721460601
25,8.5429620531944,47.37183279034
26,8.54299014264467,47.3717448280217
27,8.54302598471712,47.3715670738977
28,8.54303272205436,47.3715497028012
29,8.54294641471628,47.3715368373781
30,8.54312280973113,47.3711085285366
31,8.54315719996096,47.3710077237841
32,8.54304801185037,47.3709647635678
33,8.54309096177296,47.3707607205286
34,8.54318353905925,47.3706960236031
35,8.54319799523761,47.3705802256252
36,8.54325968117785,47.3705468393503
37,8.5432687141955,47.3704447388765
38,8.54327759473956,47.3703538118432
39,8.54329444892106,47.3703441607582
40,8.54335740515255,47.3703407791198
41,8.54337214991852,47.3702894016686
42,8.54350457281807,47.3699272672046
43,8.54359571665673,47.3696830042465
44,8.54361359672741,47.3696366250502
45,8.54371192059832,47.3694634809849
46,8.54375650726864,47.3693883855428
47,8.54383573880058,47.3693034416899
48,8.54387293566713,47.369265324059
49,8.54361960611704,47.3691338369855
50,8.54384485447855,47.3689320611418
51,8.54410094817058,47.3686969323753
52,8.54428475421973,47.3685298058521
53,8.54455692425359,47.3682796710891
54,8.54473723832781,47.3681147630593
55,8.54479543189383,47.3680632031309
56,8.54498209822273,47.3678924769474
57,8.54509939365955,47.3677853272545
58,8.54525245443408,47.3676458479341
59,8.54527584617611,47.3676361069147
60,8.54530249864163,47.3676399353417
61,8.54602815197842,47.36795862301
62,8.54603987574642,47.3679697545611
63,8.54618242167165,47.3680322803892
64,8.54671449933571,47.3682662774042
65,8.5468964457946,47.3683515239369
66,8.54706843398948,47.3684341222305
67,8.5471726132838,47.3685030867917
68,8.54723703380487,47.3685562235982
69,8.54730142573445,47.3686092527015
70,8.54740399383936,47.3687057577404
71,8.54759451134932,47.3689062929444
72,8.54779946677424,47.3691229434543
73,8.54784392187928,47.3691697141796
74,8.5478501799245,47.3692706608274
75,8.5474085029905,47.3698283833519
76,8.54731026031953,47.3699526861262
77,8.54713145429628,47.3701702952938
78,8.54691615368154,47.3705043819077
79,8.54691839916074,47.3706123832793
80,8.5469154723936,47.3706569374209
81,8.54691871157356,47.370905712544
82,8.5468907517244,47.370951811178
83,8.54684738238479,47.3709980576552
84,8.54679042832263,47.37104051256
85,8.5468267168131,47.3710873979893
86,8.54697797954409,47.3712623956893
87,8.54701320465929,47.3713007908362
88,8.54730035171778,47.3715917899765
89,8.54728549982804,47.3719555349189
90,8.54725693708118,47.3721471001415
91,8.54714515749533,47.3724675280872
92,8.54703101045122,47.3727894268191
93,8.5471435965256,47.3728088823334
94,8.54707972905149,47.3729519605522
95,8.5470215098121,47.373074394613
96,8.54695993804538,47.3731839887372
97,8.54678772742672,47.3734073356316
98,8.54671188956548,47.3734976279386
99,8.54663619292909,47.3735870822868
100,8.54637708853096,47.3738945751145
101,8.54625356229154,47.3738496055495
102,8.54586854954866,47.3737082319892
103,8.54575776753248,47.3736673224817
104,8.54572874725444,47.3736580207937
105,8.54555109011497,47.3736041153868
106,8.54548975228606,47.373586137177
107,8.54544593221552,47.3735713012953
108,8.54542890627725,47.3735644212339
109,8.54504563205263,47.3734294058615
110,8.54494166417708,47.3734698454325
111,8.54481855753166,47.3736313000701
112,8.54474533669918,47.3737272779027
113,8.54448497943599,47.3740662074107
114,8.54435244429344,47.3740867078168
115,8.54417695967447,47.3741139247479
116,8.54418611165689,47.3741401929411
117,8.54409063050099,47.3741551301987
118,8.5441035473988,47.3741809665799
119,8.54384081090036,47.3742215302465
120,8.54366781783231,47.3741926737878
121,8.54317985515014,47.374267925821
122,8.54026999401984,47.3743318297568
123,8.54026120784005,47.3743321384299
124,8.53955364196714,47.3743563439238
125,8.53955761639429,47.3744096472309
126,8.53925866769145,47.3744198451367
127,8.53903302741341,47.3744275628877
128,8.53882696172269,47.3744251721191
129,8.53871985009249,47.3742160837858
130,8.53846084093971,47.3738477165685
131,8.5384046442156,47.3737393024872
132,8.53840816731949,47.3736559109698
133,8.53841507553758,47.3734888593877
134,8.53842128129631,47.3733403894533
135,8.53842845638745,47.3731702319883
136,8.53843654765198,47.3729783785001
137,8.53844083145342,47.3728779519119
138,8.53844572651595,47.372758377834
139,8.5384482242046,47.3726631584433
140,8.53845338859976,47.3725386704436
141,8.5384604861534,47.3723679739627
142,8.53850086313992,47.372224431758
143,8.53857442681993,47.3720284826137
144,8.53866017951404,47.3717995400611
145,8.53871378083164,47.3716577967646
146,8.53875429946011,47.3715494061169
147,8.53903747433339,47.3715988175631
148,8.53911234419077,47.3716144304516
149,8.53925534039885,47.3716589342144
150,8.53925865004106,47.3716544140984
151,8.53929253221697,47.3716594523436
152,8.53957658937749,47.3717489634353
153,8.53959179563664,47.3717274280314
154,8.5396212930369,47.3716836463279
155,8.53979053941087,47.3714329302803
