Jahr,X_WGS84,Y_WGS84,Betriebsname,StrasseLang,HNr,PLZ,Ort,StatZoneSort,StatZoneLang,QuarSort,QuarLang,KreisSort,KreisLang,Oeffnungszeit,Betriebsart,Betriebsstatus,EKoord,NKoord,AnzBetriebe
2017,8.52651738504507,47.3764772367895,Kafi Bank,Molkenstrasse,15,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,Fr./Sa. 0200,Gastwirtschaft,Offen,2682158.032,1247862.621,1
2017,8.52690115321173,47.3768381400173,4 Leoni Siracusa,Molkenstrasse,20,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682186.456,1247903.145,1
2017,8.52757842326555,47.37650178075,Stiftung Heilsarmee,Molkenstrasse,6,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682238.119,1247866.461,1
2017,8.52277297850257,47.3551177647032,Imbisswagen Freestyle-Park,Moosgutstrasse,11,8045,Zürich,3304,Strassenverkehrsamt,33,Friesenberg,3,Kreis 3,,Ausgabestelle,Offen,2681908.079,1245484.15,1
2017,8.5280218868639,47.3714574426428,Morgarten,Morgartenstrasse,26,8004,Zürich,4102,Werdplatz,41,Werd,4,Kreis 4,,Gastwirtschaft,Offen,2682279.393,1247306.14,1
2017,8.52750456119142,47.3715606374146,Werdguet,Morgartenstrasse,30,8004,Zürich,4102,Werdplatz,41,Werd,4,Kreis 4,,Gastwirtschaft,Offen,2682240.164,1247317.07,1
2017,8.52864550702066,47.3843714485161,Taverna Kalymnos,Motorenstrasse,25,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,Fr/Sa frei,Gastwirtschaft,Offen,2682306.547,1248742.463,1
2017,8.52671837377476,47.350755502254,Muggenbühl,Muggenbühlstrasse,15,8038,Zürich,2103,Muggenbühl,21,Wollishofen,2,Kreis 2,,Gastwirtschaft,Offen,2682212.862,1245003.32,1
2017,8.54064466870917,47.3782937062785,Tchibo,Museumstrasse,1,8001,Zürich,1401,Bahnhofplatz,14,City,1,Kreis 1,,Nebenwirtschaft,Offen,2683222.024,1248079.447,1
2017,8.54072918400979,47.3791826084142,Spitz,Museumstrasse,2,8001,Zürich,1401,Bahnhofplatz,14,City,1,Kreis 1,So - Do 0400 / Fr./Sa. Frei,Gastwirtschaft,Offen,2683227.018,1248178.357,1
2017,8.54072918400979,47.3791826084142,Bistro Landesmuseum,Museumstrasse,2,8023,Zürich,1401,Bahnhofplatz,14,City,1,Kreis 1,,Gastwirtschaft,Offen,2683227.018,1248178.357,1
2017,8.5278278319517,47.3476785359988,Jugendherberge Zürich,Mutschellenstrasse,116,8038,Zürich,2103,Muggenbühl,21,Wollishofen,2,Kreis 2,,Gastwirtschaft,Offen,2682301.432,1244662.415,1
2017,8.52867961049647,47.3469722719167,Allegro,Mutschellenstrasse,137,8038,Zürich,2102,Bellariastrasse,21,Wollishofen,2,Kreis 2,,Gastwirtschaft,Offen,2682366.88,1244584.793,1
2017,8.52719118311505,47.3537729767991,Sauna Adonis,Mutschellenstrasse,17,8002,Zürich,2404,Museum Rietberg,24,Enge,2,Kreis 2,,Nebenwirtschaft,Offen,2682243.93,1245339.27,1
2017,8.52999375248566,47.3447287766077,Migros Restaurant Wollishofen,Mutschellenstrasse,191,8038,Zürich,2102,Bellariastrasse,21,Wollishofen,2,Kreis 2,,Gastwirtschaft,Offen,2682469.642,1244336.763,1
2017,8.53461849526508,47.3535676361045,Strandbad Mythenquai,Mythenquai,117,8002,Zürich,2403,Belvoir-Park,24,Enge,2,Kreis 2,,Gastwirtschaft,Offen,2682805.365,1245324.253,1
2017,8.5337064738128,47.3522770510425,Tennisanlage Mythenquai,Mythenquai,200,8002,Zürich,2403,Belvoir-Park,24,Enge,2,Kreis 2,,Gastwirtschaft,Offen,2682738.466,1245179.816,1
2017,8.53569327798023,47.3612305977903,Kiosk Hafen Enge,Mythenquai,21,8002,Zürich,2402,Kongresshaus,24,Enge,2,Kreis 2,,Ausgabestelle,Offen,2682874.652,1246177.284,1
2017,8.53409810214715,47.3483450792775,BP Service Wollishofen,Mythenquai,320,8038,Zürich,2101,Bahnhof Wollishofen,21,Wollishofen,2,Kreis 2,tägl. Frei,Tankstelle,Offen,2682774.156,1244743.11,1
2017,8.53457866828832,47.3472143727838,Schiffrestauration Zürichsee ZSG,Mythenquai,333,8038,Zürich,2101,Bahnhof Wollishofen,21,Wollishofen,2,Kreis 2,,Gastwirtschaft,Offen,2682812.221,1244617.916,1
2017,8.53464044302426,47.345447577031,Spar Express,Mythenquai,353,8038,Zürich,2101,Bahnhof Wollishofen,21,Wollishofen,2,Kreis 2,,Nebenwirtschaft,Offen,2682819.632,1244421.566,1
2017,8.53480181353778,47.3440419820345,Petite Fleur,Mythenquai,386,8038,Zürich,2101,Bahnhof Wollishofen,21,Wollishofen,2,Kreis 2,0400/Frei,Gastwirtschaft,Offen,2682834.008,1244265.476,1
2017,8.53688506165178,47.3588808479717,Quai 61,Mythenquai,61,8002,Zürich,2407,See West,24,Enge,2,Kreis 2,0400/frei,Gastwirtschaft,Offen,2682968.332,1245917.32,1
2017,8.53667338241889,47.3616478878197,Seebad Enge,Mythenquai,9,8002,Zürich,2407,See West,24,Enge,2,Kreis 2,,Ausgabestelle,Offen,2682948.037,1246224.71,1
2017,8.55466150680453,47.3601114171325,Bistro Horizont,Mühlebachstrasse,112,8008,Zürich,8202,Gemeinschaftszentrum,82,Mühlebach,8,Kreis 8,,Gastwirtschaft,Offen,2684309.223,1246073.07,1
2017,8.5572100073907,47.3582591661232,Blindekuh,Mühlebachstrasse,148,8008,Zürich,8203,Wildbachstrasse,82,Mühlebach,8,Kreis 8,,Gastwirtschaft,Offen,2684504.668,1245869.896,1
2017,8.55851949365547,47.3571416273143,Hammam Basar,Mühlebachstrasse,159,8008,Zürich,8203,Wildbachstrasse,82,Mühlebach,8,Kreis 8,,Gastwirtschaft,Offen,2684605.361,1245747.07,1
