"ObjectID","Datum","Standort","Velo_in","Velo_out","Fuss_in","Fuss_out"
109,2009-12-03T03:00:00,"ECO09022739",0,0,,
110,2009-12-03T03:15:00,"ECO09022739",0,0,,
111,2009-12-03T03:30:00,"ECO09022739",0,0,,
112,2009-12-03T03:45:00,"ECO09022739",0,0,,
113,2009-12-03T04:00:00,"ECO09022739",0,0,,
114,2009-12-03T04:15:00,"ECO09022739",0,0,,
115,2009-12-03T04:30:00,"ECO09022739",0,0,,
116,2009-12-03T04:45:00,"ECO09022739",0,0,,
117,2009-12-03T05:00:00,"ECO09022739",0,0,,
118,2009-12-03T05:15:00,"ECO09022739",0,0,,
119,2009-12-03T05:30:00,"ECO09022739",0,0,,
120,2009-12-03T05:45:00,"ECO09022739",0,0,,
121,2009-12-03T06:00:00,"ECO09022739",0,0,,
122,2009-12-03T06:15:00,"ECO09022739",1,0,,
123,2009-12-03T06:30:00,"ECO09022739",2,1,,
124,2009-12-03T06:45:00,"ECO09022739",0,0,,
125,2009-12-03T07:00:00,"ECO09022739",2,0,,
126,2009-12-03T07:15:00,"ECO09022739",2,0,,
127,2009-12-03T07:30:00,"ECO09022739",5,0,,
128,2009-12-03T07:45:00,"ECO09022739",6,0,,
129,2009-12-03T08:00:00,"ECO09022739",9,1,,
130,2009-12-03T08:15:00,"ECO09022739",21,0,,
131,2009-12-03T08:30:00,"ECO09022739",16,0,,
132,2009-12-03T08:45:00,"ECO09022739",15,1,,
133,2009-12-03T09:00:00,"ECO09022739",24,1,,
134,2009-12-03T09:15:00,"ECO09022739",15,2,,
135,2009-12-03T09:30:00,"ECO09022739",13,1,,
136,2009-12-03T09:45:00,"ECO09022739",13,1,,
137,2009-12-03T10:00:00,"ECO09022739",7,2,,
138,2009-12-03T10:15:00,"ECO09022739",5,1,,
139,2009-12-03T10:30:00,"ECO09022739",6,1,,
140,2009-12-03T10:45:00,"ECO09022739",2,0,,
141,2009-12-03T11:00:00,"ECO09022739",5,3,,
142,2009-12-03T11:15:00,"ECO09022739",6,4,,
143,2009-12-03T11:30:00,"ECO09022739",8,2,,
144,2009-12-03T11:45:00,"ECO09022739",1,1,,
145,2009-12-03T12:00:00,"ECO09022739",7,1,,
146,2009-12-03T12:15:00,"ECO09022739",5,4,,
147,2009-12-03T12:30:00,"ECO09022739",4,2,,
148,2009-12-03T12:45:00,"ECO09022739",6,1,,
149,2009-12-03T13:00:00,"ECO09022739",3,1,,
150,2009-12-03T13:15:00,"ECO09022739",0,0,,
151,2009-12-03T13:30:00,"ECO09022739",3,4,,
152,2009-12-03T13:45:00,"ECO09022739",3,5,,
153,2009-12-03T14:00:00,"ECO09022739",4,5,,
154,2009-12-03T14:15:00,"ECO09022739",7,1,,
155,2009-12-03T14:30:00,"ECO09022739",3,2,,
156,2009-12-03T14:45:00,"ECO09022739",3,3,,
157,2009-12-03T15:00:00,"ECO09022739",5,1,,
158,2009-12-03T15:15:00,"ECO09022739",0,0,,
159,2009-12-03T15:30:00,"ECO09022739",3,2,,
160,2009-12-03T15:45:00,"ECO09022739",4,3,,
161,2009-12-03T16:00:00,"ECO09022739",1,1,,
162,2009-12-03T16:15:00,"ECO09022739",7,3,,
163,2009-12-03T16:30:00,"ECO09022739",1,2,,
164,2009-12-03T16:45:00,"ECO09022739",4,3,,
165,2009-12-03T17:00:00,"ECO09022739",3,0,,
166,2009-12-03T17:15:00,"ECO09022739",3,1,,
167,2009-12-03T17:30:00,"ECO09022739",7,2,,
168,2009-12-03T17:45:00,"ECO09022739",3,7,,
169,2009-12-03T18:00:00,"ECO09022739",4,6,,
170,2009-12-03T18:15:00,"ECO09022739",3,8,,
171,2009-12-03T18:30:00,"ECO09022739",2,4,,
172,2009-12-03T18:45:00,"ECO09022739",1,8,,
173,2009-12-03T19:00:00,"ECO09022739",6,3,,
174,2009-12-03T19:15:00,"ECO09022739",6,10,,
175,2009-12-03T19:30:00,"ECO09022739",4,4,,
176,2009-12-03T19:45:00,"ECO09022739",4,5,,
177,2009-12-03T20:00:00,"ECO09022739",5,7,,
178,2009-12-03T20:15:00,"ECO09022739",1,7,,
179,2009-12-03T20:30:00,"ECO09022739",1,4,,
180,2009-12-03T20:45:00,"ECO09022739",1,4,,
181,2009-12-03T21:00:00,"ECO09022739",2,2,,
182,2009-12-03T21:15:00,"ECO09022739",1,3,,
183,2009-12-03T21:30:00,"ECO09022739",0,3,,
184,2009-12-03T21:45:00,"ECO09022739",2,3,,
185,2009-12-03T22:00:00,"ECO09022739",0,2,,
186,2009-12-03T22:15:00,"ECO09022739",1,1,,
187,2009-12-03T22:30:00,"ECO09022739",0,0,,
188,2009-12-03T22:45:00,"ECO09022739",0,2,,
189,2009-12-03T23:00:00,"ECO09022739",1,1,,
190,2009-12-03T23:15:00,"ECO09022739",0,1,,
191,2009-12-03T23:30:00,"ECO09022739",1,3,,
192,2009-12-03T23:45:00,"ECO09022739",1,4,,
