SVOZONEOID,T_ZONE,T_ZONTXT,T_KAT,T_KATTXT,T_LABEL,T_LABTXT,P_LABEL,P_LABTXT,P_SPEZ,P_HM_NAT,P_FM_NAT,P_PREC_C,P_PREC_T,T_SZIEL,T_SMASSN,OBJ_NR,OBJ_NAM,P_BFS,P_GEM,P_BEZIRK,E_OBJID,E_KURZTI,E_TITEL,E_DATUM,E_NR,E_TYP,E_VNAM,E_PUBL,E_URL,AREAM2,LENGTH,SHAPE.AREA,SHAPE.LEN
2336,I,Naturschutzzone I,I,Naturschutzzone,,,,,,,,AV,,Erhaltung der schutzwürdigen Gebiete als Lebensraum seltener und gefährdeter Tier- und Pflanzenarten und -gemeinschaften,Beweidungsverbot;keine Düngung; keine Veränderungen des Wasserhaushaltes; Vorgaben zum Schnitttermin; Vorgaben zum Umgang mit bestehenden Gehölzen; Einschränkung des Begehens; Leinenzwang für Hunde.,3,Katzenseen,261,Zürich,Zürich,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,596.9,194.70000000000002,596.8507839,194.720335080887
5829,IVA,Waldschutzzone IVA,IV,Waldschutzzone,,,,,,,,,,Langfristige Erhaltung standortgemässer Waldgesellschaften - schutzwürdiger Waldformen und -typen sowie stufig aufgebauter Waldränder,Wald im Sinne der Schutzziele gemäss Pflegeplan nutzen oder pflegen;ökologisch wertvolle Übergänge von Wald und Naturschutzzonen schaffen; isolierte waldfreie Naturschutzzonen verbinden,ZH 12,"Allmend Brunau, Riedwiese, Magerwiese, Gewässer",261,Zürich,Zürich,238,SVO Uetliberg,"Verordnung zum Schutz des Uetliberg-Albis, Teilgebiet Uetliberg Nord (Natur- und Landschaftsschutzgebiet mit überkommunaler Bedeutung in den Gemeinden Stallikon, Uitikon und der Stadt Zürich",20170117,17006,Schutzverordnung,,2017/182671,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Uetliberg.pdf,2406.6,266.1,2406.622995025,266.117713261606
5706,IVL,Waldschutzzone IVL,IV,Waldschutzzone,,,,,,,,AV,,Biologisch und landschaftlich wertvolle Elemente erhalten - Rücksicht auf Landschaftsbild nehmen.,Erratische Blöcke und andere geomorphologische Objekte erhalten; Bäche nicht verbauen,,,13,Stallikon,Affoltern am Albis,238,SVO Uetliberg,"Verordnung zum Schutz des Uetliberg-Albis, Teilgebiet Uetliberg Nord (Natur- und Landschaftsschutzgebiet mit überkommunaler Bedeutung in den Gemeinden Stallikon, Uitikon und der Stadt Zürich",20170117,17006,Schutzverordnung,,2017/182671,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Uetliberg.pdf,4308819.2,48557.200000000004,4308819.16598646,48557.235420274104
1869,IVA,Waldschutzzone IVA,IV,Waldschutzzone,,,,,,,850,AV,,Langfristige Erhaltung standortgemässer Waldgesellschaften - schutzwürdiger Waldformen und -typen sowie stufig aufgebauter Waldränder,Wald im Sinne der Schutzziele gemäss Pflegeplan nutzen oder pflegen;ökologisch wertvolle Übergänge von Wald und Naturschutzzonen schaffen; isolierte waldfreie Naturschutzzonen verbinden,102,Landschaftsschutzgebiet,96,Regensdorf,Dielsdorf,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,1629.3,246.20000000000002,1629.321881185,246.20337792468302
1868,IVA,Waldschutzzone IVA,IV,Waldschutzzone,,,,,,,850,AV,,Langfristige Erhaltung standortgemässer Waldgesellschaften - schutzwürdiger Waldformen und -typen sowie stufig aufgebauter Waldränder,Wald im Sinne der Schutzziele gemäss Pflegeplan nutzen oder pflegen;ökologisch wertvolle Übergänge von Wald und Naturschutzzonen schaffen; isolierte waldfreie Naturschutzzonen verbinden,2,Hänsiried,261,Zürich,Zürich,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,4928.1,689.6,4928.07738057,689.585256182853
3971,IVA,Waldschutzzone IVA,IV,Waldschutzzone,,,,,,,850,AV,,Langfristige Erhaltung standortgemässer Waldgesellschaften - schutzwürdiger Waldformen und -typen sowie stufig aufgebauter Waldränder,Wald im Sinne der Schutzziele gemäss Pflegeplan nutzen oder pflegen;ökologisch wertvolle Übergänge von Wald und Naturschutzzonen schaffen; isolierte waldfreie Naturschutzzonen verbinden,2,Hänsiried,261,Zürich,Zürich,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,546.9,86.8,546.89210092,86.7923661442029
5299,I,Naturschutzzone I,I,Naturschutzzone,,,,,,,,AV,,Erhaltung der schutzwürdigen Gebiete als Lebensraum seltener und gefährdeter Tier- und Pflanzenarten und -gemeinschaften,Beweidungsverbot;keine Düngung; keine Veränderungen des Wasserhaushaltes; Vorgaben zum Schnitttermin; Vorgaben zum Umgang mit bestehenden Gehölzen; Einschränkung des Begehens; Leinenzwang für Hunde.,2,Hänsiried,96,Regensdorf,Dielsdorf,219,Katzenseen (Änderung),Verordnung über den Schutz der Katzenseen (Änderung),20140312,14022,Einzelverfügung,,2014/65075,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Aenderung_2014.pdf,3683.5,280.3,3683.54254232,280.301122520311
5822,IIIB,Landschaftsschutzzone IIIB,III,Landschaftsschutzzone,,,,,,,,,,Langfristige Erhaltung eines biologisch und landschaftlich wervollen Zustandes sowie als prägendes Landschaftselement,Alle Veränderungen in der Landschaft sind Bewilligungspflichtig.,,,261,Zürich,Zürich,238,SVO Uetliberg,"Verordnung zum Schutz des Uetliberg-Albis, Teilgebiet Uetliberg Nord (Natur- und Landschaftsschutzgebiet mit überkommunaler Bedeutung in den Gemeinden Stallikon, Uitikon und der Stadt Zürich",20170117,17006,Schutzverordnung,,2017/182671,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Uetliberg.pdf,8332,631.4,8332.046642495001,631.4275834964631
5832,VIA,Erholungszone VIA,VI,Erholungszone,,,,,,,,,,Diese Zone dient der Erholung - soweit diese mit dem Schutz des Gebietes vereinbar ist.,Kein Dünger- und Gifteinsatz; keine standortfremden Baumbestände; keine Beeinträchtigung der Ried- und Ufervegetation,,,261,Zürich,Zürich,238,SVO Uetliberg,"Verordnung zum Schutz des Uetliberg-Albis, Teilgebiet Uetliberg Nord (Natur- und Landschaftsschutzgebiet mit überkommunaler Bedeutung in den Gemeinden Stallikon, Uitikon und der Stadt Zürich",20170117,17006,Schutzverordnung,,2017/182671,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Uetliberg.pdf,7389.5,508,7389.479244995,508.00237424352605
5774,IIIB,Landschaftsschutzzone IIIB,III,Landschaftsschutzzone,,,,,,,,AV,,Langfristige Erhaltung eines biologisch und landschaftlich wervollen Zustandes sowie als prägendes Landschaftselement,Alle Veränderungen in der Landschaft sind Bewilligungspflichtig.,,,13,Stallikon,Affoltern am Albis,238,SVO Uetliberg,"Verordnung zum Schutz des Uetliberg-Albis, Teilgebiet Uetliberg Nord (Natur- und Landschaftsschutzgebiet mit überkommunaler Bedeutung in den Gemeinden Stallikon, Uitikon und der Stadt Zürich",20170117,17006,Schutzverordnung,,2017/182671,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Uetliberg.pdf,1058.6,272.6,1058.61687929,272.607988279933
5708,IVL,Waldschutzzone IVL,IV,Waldschutzzone,,,,,,,,AV,,Biologisch und landschaftlich wertvolle Elemente erhalten - Rücksicht auf Landschaftsbild nehmen.,Erratische Blöcke und andere geomorphologische Objekte erhalten; Bäche nicht verbauen,,,13,Stallikon,Affoltern am Albis,238,SVO Uetliberg,"Verordnung zum Schutz des Uetliberg-Albis, Teilgebiet Uetliberg Nord (Natur- und Landschaftsschutzgebiet mit überkommunaler Bedeutung in den Gemeinden Stallikon, Uitikon und der Stadt Zürich",20170117,17006,Schutzverordnung,,2017/182671,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Uetliberg.pdf,21791.8,1395.4,21791.838587472503,1395.43756149722
3956,IIA,Naturschutzumgebungszone IIA,II,Naturschutzumgebungszone,,,,,,,,AV,,Sicherung der Naturschutzzone vor unerwünschten Einwirkungen,Beweidungsverbot;keine Düngung; keine Veränderungen des Wasserhaushaltes; Vorgaben zum Schnitttermin; Vorgaben zum Umgang mit bestehenden Gehölzen; Leinenzwang für Hunde.,3,Katzenseen,96,Regensdorf,Dielsdorf,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,4554,316,4554.047049335,315.98616873282305
3982,IVA,Waldschutzzone IVA,IV,Waldschutzzone,,,,,,,850,AV,,Langfristige Erhaltung standortgemässer Waldgesellschaften - schutzwürdiger Waldformen und -typen sowie stufig aufgebauter Waldränder,Wald im Sinne der Schutzziele gemäss Pflegeplan nutzen oder pflegen;ökologisch wertvolle Übergänge von Wald und Naturschutzzonen schaffen; isolierte waldfreie Naturschutzzonen verbinden,2,Hänsiried,261,Zürich,Zürich,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,746.8000000000001,112.5,746.83862888,112.510546894967
3983,IVA,Waldschutzzone IVA,IV,Waldschutzzone,,,,,,,850,AV,,Langfristige Erhaltung standortgemässer Waldgesellschaften - schutzwürdiger Waldformen und -typen sowie stufig aufgebauter Waldränder,Wald im Sinne der Schutzziele gemäss Pflegeplan nutzen oder pflegen;ökologisch wertvolle Übergänge von Wald und Naturschutzzonen schaffen; isolierte waldfreie Naturschutzzonen verbinden,2,Hänsiried,261,Zürich,Zürich,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,4713.2,541.5,4713.235797835,541.468348422522
