"Jahr","QuarSort","QuarLang","KreisSort","KreisLang","ProjStatus","ProjStatusSort","ProjAnzGbd","ProjKosten","ProjRauminhalt","ProjAnzWhg","Whg_1_3_Zi","Whg_4plus_Zi"
2009,11,"Rathaus",1,"Kreis 1","Im Bau","6703",2,,17690,0,0,0
2009,12,"Hochschulen",1,"Kreis 1","Im Bau","6703",5,32000,42700,4,2,2
2009,14,"City",1,"Kreis 1","Bewilligt","6702",1,,135000,0,0,0
2009,14,"City",1,"Kreis 1","Im Bau","6703",1,,17000,0,0,0
2009,21,"Wollishofen",2,"Kreis 2","Bewilligt","6702",2,,8586,0,0,0
2009,21,"Wollishofen",2,"Kreis 2","Fertigerstellt","6704",14,40251,91913,78,31,47
2009,21,"Wollishofen",2,"Kreis 2","Im Bau","6703",11,36600,62022,73,30,43
2009,23,"Leimbach",2,"Kreis 2","Bewilligt","6702",2,,66533,81,74,7
2009,23,"Leimbach",2,"Kreis 2","Im Bau","6703",19,77400,108424,194,96,98
2009,24,"Enge",2,"Kreis 2","Bewilligt","6702",2,,10222,13,6,7
2009,24,"Enge",2,"Kreis 2","Im Bau","6703",4,30000,32300,14,7,7
2009,31,"Alt-Wiedikon",3,"Kreis 3","Bewilligt","6702",12,90500,127776,119,89,30
2009,31,"Alt-Wiedikon",3,"Kreis 3","Fertigerstellt","6704",4,15700,52099,0,0,0
2009,31,"Alt-Wiedikon",3,"Kreis 3","Im Bau","6703",22,413200,423372,247,140,107
2009,33,"Friesenberg",3,"Kreis 3","Bewilligt","6702",81,63490,113226,155,62,93
2009,33,"Friesenberg",3,"Kreis 3","Fertigerstellt","6704",15,34000,59654,114,43,71
2009,33,"Friesenberg",3,"Kreis 3","Im Bau","6703",2,,217273,0,0,0
2009,34,"Sihlfeld",3,"Kreis 3","Bewilligt","6702",23,77420,103515,154,36,118
2009,34,"Sihlfeld",3,"Kreis 3","Fertigerstellt","6704",4,10300,12828,27,15,12
2009,34,"Sihlfeld",3,"Kreis 3","Im Bau","6703",8,,90150,166,92,74
2009,41,"Werd",4,"Kreis 4","Fertigerstellt","6704",2,,13160,24,12,12
2009,41,"Werd",4,"Kreis 4","Im Bau","6703",1,,45200,0,0,0
2009,42,"Langstrasse",4,"Kreis 4","Bewilligt","6702",5,,229123,31,31,0
2009,42,"Langstrasse",4,"Kreis 4","Fertigerstellt","6704",1,,23206,0,0,0
2009,42,"Langstrasse",4,"Kreis 4","Im Bau","6703",7,254600,463280,8,0,8
2009,44,"Hard",4,"Kreis 4","Bewilligt","6702",2,,623282,119,115,4
2009,44,"Hard",4,"Kreis 4","Fertigerstellt","6704",2,,34583,0,0,0
2009,44,"Hard",4,"Kreis 4","Im Bau","6703",3,,54566,68,49,19
2009,51,"Gewerbeschule",5,"Kreis 5","Bewilligt","6702",3,,27992,39,18,21
