"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerEInkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2013,40,"Kreis 4",0,"Grundtarif",38.5,17.7,62.2
2013,40,"Kreis 4",1,"Verheiratetentarif",54.1,33.5,82.5
2013,40,"Kreis 4",2,"Einelternfamilientarif",32.4,13.4,54.5
2013,50,"Kreis 5",0,"Grundtarif",46.6,21.1,73.8
2013,50,"Kreis 5",1,"Verheiratetentarif",72.2,45.1,112.3
2013,50,"Kreis 5",2,"Einelternfamilientarif",45.5,24.2,75.7
2013,60,"Kreis 6",0,"Grundtarif",47.1,21.4,75.5
2013,60,"Kreis 6",1,"Verheiratetentarif",94.8,59.4,156.9
2013,60,"Kreis 6",2,"Einelternfamilientarif",50.2,29.3,78.7
2013,70,"Kreis 7",0,"Grundtarif",49.7,20,83.55
2013,70,"Kreis 7",1,"Verheiratetentarif",124.45,75.8,210.1
2013,70,"Kreis 7",2,"Einelternfamilientarif",65,36.1,110.6
2013,80,"Kreis 8",0,"Grundtarif",53.4,22.4,89.4
2013,80,"Kreis 8",1,"Verheiratetentarif",112.45,68.15,195.35
2013,80,"Kreis 8",2,"Einelternfamilientarif",58.5,36.3,94.9
2013,90,"Kreis 9",0,"Grundtarif",40.9,20.4,61
2013,90,"Kreis 9",1,"Verheiratetentarif",68.1,45.2,97.2
2013,90,"Kreis 9",2,"Einelternfamilientarif",36.3,19.7,58.3
2013,100,"Kreis 10",0,"Grundtarif",46.8,23,70.3
2013,100,"Kreis 10",1,"Verheiratetentarif",85.6,56.9,131.5
2013,100,"Kreis 10",2,"Einelternfamilientarif",48.7,26.6,74.5
2013,110,"Kreis 11",0,"Grundtarif",40.5,19,62.4
2013,110,"Kreis 11",1,"Verheiratetentarif",70.2,45.5,102.4
2013,110,"Kreis 11",2,"Einelternfamilientarif",36.2,16.8,59.4
2013,120,"Kreis 12",0,"Grundtarif",31.3,14.3,49.7
2013,120,"Kreis 12",1,"Verheiratetentarif",57.1,36.65,79.6
2013,120,"Kreis 12",2,"Einelternfamilientarif",27.85,6.55,43.55
